province_isocode;region_isocode;cashless_id;date_id;transactions_value;transactions_volume
SS;SM;CRDC;2;185.509;13700192
SS;SM;CRDC;3;191.294;13720691
SS;SM;CRDC;4;138.885;9920237
SS;SM;CRDC;5;118.186;9662636
SS;SM;CRDC;6;135.820;10842348
SS;SM;CRDC;7;139.525;11353486
SS;SM;CRDC;8;143.707;11818768
SS;SM;CRDC;9;137.146;10596477
SS;SM;CRDC;10;137.304;11283914
SS;SM;CRDC;11;148.471;12743189
SS;SM;CRDC;12;158.422;13264405
SS;SM;CRDC;13;136.883;12014034
SS;SM;CRDC;14;135.558;10940585
SS;SM;CRDC;15;160.481;12888720
SS;SM;CRDC;16;151.850;13077784
SS;SM;CRDC;17;141.476;13285406
SS;SM;CRDC;18;143.990;12471368
SS;SM;CRDC;19;131.225;12239898
SS;SM;CRDC;20;124.947;12977238
SS;SM;CRDC;21;139.727;12852882
SS;SM;CRDC;22;146.146;13765349
SS;SM;CRDC;23;159.911;14676324
SS;SM;CRDC;24;176.231;15504035
SS;SM;CRDC;25;184.267;16759356
SS;SM;CRDC;26;151.476;14887875
SS;SM;CRDC;27;152.603;18126312
SS;SM;CRDC;28;192.607;16282541
SS;SM;CRDC;29;192.491;17050933
SS;SM;CRDC;30;197.862;16817116
SS;SM;CRDC;31;197.379;17024697
SS;SM;CRDC;32;202.802;18114120
SS;SM;CRDC;33;197.674;17562071
SS;SM;CRDC;34;176.850;18129522
SS;SM;CRDC;35;215.696;18325265
SS;SM;CRDC;36;188.167;19755595
SS;SM;SCLR;1;2742.516;14638
SS;SM;SCLR;2;2437.838;13700
SS;SM;SCLR;3;2715.153;13721
SS;SM;SCLR;4;2385.810;9920
SS;SM;SCLR;5;2044.885;9663
SS;SM;SCLR;6;2362.618;10842
SS;SM;SCLR;7;2571.165;11353
SS;SM;SCLR;8;2526.849;11819
SS;SM;SCLR;9;2815.655;10596
SS;SM;SCLR;10;2600.499;11284
SS;SM;SCLR;11;2994.957;12743
